# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 23K of event 'branch-instructions'
# Event count (approx.): 4637350059
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                  
# ........  .......  ............................  ........................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.11%  test     [kernel.kallsyms]             [k] __pte_offset_map_lock
     0.11%  test     libjpeg.so.8.2.2              [.] 0x000000000004beb7
     0.11%  test     [kernel.kallsyms]             [k] do_anonymous_page
     0.11%  test     libjpeg.so.8.2.2              [.] 0x000000000003d571
     0.11%  test     libjpeg.so.8.2.2              [.] 0x000000000003d59c
     0.10%  test     libc.so.6                     [.] __memmove_evex_unaligned_erms
     0.10%  test     libjpeg.so.8.2.2              [.] 0x0000000000006119
     0.10%  test     libjpeg.so.8.2.2              [.] 0x000000000004be69
     0.10%  test     libjpeg.so.8.2.2              [.] 0x000000000001558b
     0.10%  test     libjpeg.so.8.2.2              [.] 0x000000000004c70d
     0.10%  test     libjpeg.so.8.2.2              [.] 0x0000000000027229
     0.10%  test     libjpeg.so.8.2.2              [.] 0x000000000003d57d
     0.10%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7a5
     0.10%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d6e
     0.10%  test     [kernel.kallsyms]             [k] count_memcg_events.constprop.0
     0.09%  test     libjpeg.so.8.2.2              [.] 0x000000000003d5bf
     0.09%  test     libjpeg.so.8.2.2              [.] 0x000000000002724c
     0.09%  test     libjpeg.so.8.2.2              [.] 0x000000000004c719
     0.09%  test     libjpeg.so.8.2.2              [.] 0x000000000002792e
     0.09%  test     libjpeg.so.8.2.2              [.] 0x000000000004bee9
     0.09%  test     [kernel.kallsyms]             [k] free_unref_page_commit
     0.09%  test     [kernel.kallsyms]             [k] try_charge_memcg
     0.09%  test     libgomp.so.1.0.0              [.] 0x00000000000207ba
     0.09%  test     libjpeg.so.8.2.2              [.] 0x000000000003d544
     0.09%  test     libjpeg.so.8.2.2              [.] 0x000000000004c711
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000003d5de
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7c2
     0.08%  test     libjpeg.so.8.2.2              [.] 0x0000000000027a3f
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000003d62f
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000003d78b
     0.08%  test     [kernel.kallsyms]             [k] sync_regs
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6ad
     0.08%  test     [kernel.kallsyms]             [k] __mem_cgroup_charge
     0.08%  test     [kernel.kallsyms]             [k] ext4_fill_raw_inode
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7db
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7f3
     0.07%  test     libjpeg.so.8.2.2              [.] 0x0000000000027962
     0.07%  test     libjpeg.so.8.2.2              [.] 0x00000000000271a0
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7eb
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000004be83
     0.07%  test     libjpeg.so.8.2.2              [.] 0x0000000000027a67
     0.07%  test     [kernel.kallsyms]             [k] free_swap_cache
     0.07%  test     [kernel.kallsyms]             [k] free_unref_page_list
     0.07%  test     libjpeg.so.8.2.2              [.] 0x00000000000271c8
     0.07%  test     libm.so.6                     [.] __sqrtf
     0.07%  test     libjpeg.so.8.2.2              [.] 0x0000000000015561
     0.07%  test     [kernel.kallsyms]             [k] __mod_lruvec_page_state
     0.07%  test     libjpeg.so.8.2.2              [.] 0x00000000000270d1
     0.06%  test     libjpeg.so.8.2.2              [.] 0x00000000000156ae
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000004be6f
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000004be93
     0.06%  test     [kernel.kallsyms]             [k] __raw_spin_lock_irqsave
     0.06%  test     test                          [.] decltype (::new ((void*)(0)) int((declval<int const&>)())) std::construct_at<int, int const&>(int*, int const&)
     0.06%  test     [kernel.kallsyms]             [k] crypto_shash_update
     0.06%  test     libjpeg.so.8.2.2              [.] 0x00000000000155c3
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7a9
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000004bed1
     0.06%  test     [kernel.kallsyms]             [k] _raw_read_lock
     0.06%  test     [kernel.kallsyms]             [k] _find_first_bit
     0.06%  test     libjpeg.so.8.2.2              [.] 0x0000000000027a53
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000002793e
     0.06%  test     libjpeg.so.8.2.2              [.] 0x0000000000027244
     0.05%  test     libjpeg.so.8.2.2              [.] 0x0000000000027860
     0.05%  test     test                          [.] void _mm512_memcpy<unsigned char>(unsigned char*, unsigned char const*, unsigned long)
     0.05%  test     libtbb.so.12.12               [.] tbb::detail::d1::task* tbb::detail::r1::task_dispatcher::local_wait_for_all<false, tbb::detail::r1::outermost_worker_waiter>(tbb::detail::d1::task*, tbb::detail::r1::outermost_worker_waiter&)
     0.05%  test     [kernel.kallsyms]             [k] __irqentry_text_end
     0.05%  test     [kernel.kallsyms]             [k] send_to_group
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7b3
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000003d790
     0.05%  test     test                          [.] std::vector<int, std::allocator<int> >::operator[](unsigned long)
     0.05%  test     [kernel.kallsyms]             [k] free_pcppages_bulk
     0.05%  test     libjpeg.so.8.2.2              [.] 0x0000000000027265
     0.05%  test     libjpeg.so.8.2.2              [.] 0x0000000000027920
     0.05%  test     libjpeg.so.8.2.2              [.] jpeg_huff_decode
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000004c18e
     0.05%  test     libjpeg.so.8.2.2              [.] 0x0000000000048e3f
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6cf
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000004be87
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000004c812
     0.05%  test     libjpeg.so.8.2.2              [.] 0x0000000000028ba0
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000002795b
     0.05%  test     libjpeg.so.8.2.2              [.] 0x00000000000156be
     0.05%  test     test                          [.] operator new(unsigned long, void*)
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000003d603
     0.05%  test     libjpeg.so.8.2.2              [.] 0x00000000000271fa
     0.05%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d54
     0.05%  test     [kernel.kallsyms]             [k] post_alloc_hook
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000004be8f
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6f1
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000003d8ba
     0.04%  test     libjpeg.so.8.2.2              [.] 0x0000000000027910
     0.04%  test     libjpeg.so.8.2.2              [.] 0x0000000000027410
     0.04%  test     libjpeg.so.8.2.2              [.] 0x0000000000027bf4
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000004bf0f
     0.04%  test     [kernel.kallsyms]             [k] policy_node
     0.04%  test     libm.so.6                     [.] __atan2f_finite@GLIBC_2.15
     0.04%  test     test                          [.] void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000004bef3
     0.04%  test     [kernel.kallsyms]             [k] _compound_head
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000004be8b
     0.04%  test     libjpeg.so.8.2.2              [.] 0x0000000000027237
     0.04%  test     [kernel.kallsyms]             [k] pmd_val
     0.04%  test     libjpeg.so.8.2.2              [.] 0x0000000000027a46
     0.04%  test     [kernel.kallsyms]             [k] ext4_da_map_blocks.constprop.0
     0.04%  test     libjpeg.so.8.2.2              [.] 0x0000000000006135
     0.04%  test     [kernel.kallsyms]             [k] __fget_light
     0.04%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d62
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000004c24c
     0.04%  test     [kernel.kallsyms]             [k] folio_add_lru_vma
     0.04%  test     [kernel.kallsyms]             [k] __mark_inode_dirty
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000004c21e
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000002709f
     0.04%  test     [kernel.kallsyms]             [k] __mod_lruvec_state
     0.04%  test     libjpeg.so.8.2.2              [.] 0x0000000000027234
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d637
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004be97
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000002708e
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d59
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d64b
     0.03%  test     [kernel.kallsyms]             [k] consume_stock
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6a5
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d5ea
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004beb3
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004c27a
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d8b3
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6fb
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027a98
     0.03%  test     libjpeg.so.8.2.2              [.] 0x00000000000271f1
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027241
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d8b6
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027167
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027a4c
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027bf0
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027850
     0.03%  test     [kernel.kallsyms]             [k] memset_orig
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000028b82
     0.03%  test     libjpeg.so.8.2.2              [.] 0x00000000000271f8
     0.03%  test     libjpeg.so.8.2.2              [.] 0x00000000000373ed
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7ac
     0.03%  test     libz.so.1.2.11                [.] inflate
     0.03%  test     [kernel.kallsyms]             [k] mem_cgroup_from_task
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027958
     0.03%  test     [kernel.kallsyms]             [k] do_user_addr_fault
     0.03%  test     [kernel.kallsyms]             [k] __folio_alloc
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d682
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d609
     0.03%  test     [kernel.kallsyms]             [k] error_entry
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d629
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004be75
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000002785c
     0.03%  test     [kernel.kallsyms]             [k] mpage_submit_folio
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d65b
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004c700
     0.03%  test     [kernel.kallsyms]             [k] vfs_write
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d66d
     0.03%  test     libjpeg.so.8.2.2              [.] 0x00000000000156d3
     0.03%  test     [kernel.kallsyms]             [k] crc32c_pcl_intel_update
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d645
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6d7
     0.03%  test     [kernel.kallsyms]             [k] mod_zone_page_state
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027853
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027121
     0.03%  test     libjpeg.so.8.2.2              [.] 0x00000000000271ab
     0.03%  test     libjpeg.so.8.2.2              [.] 0x00000000000155b7
     0.03%  test     [kernel.kallsyms]             [k] pud_val
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004c7f8
     0.03%  test     [kernel.kallsyms]             [k] _raw_spin_lock_irq
     0.03%  test     [kernel.kallsyms]             [k] mpage_prepare_extent_to_map
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000048e4c
     0.03%  test     test                          [.] std::atan2(float, float)
     0.02%  test     [kernel.kallsyms]             [k] fault_in_readable
     0.02%  test     [kernel.kallsyms]             [k] __srcu_read_unlock
     0.02%  test     [kernel.kallsyms]             [k] consume_obj_stock
     0.02%  test     test                          [.] std::vector<int, std::allocator<int> >::size() const
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c1d7
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000028bd6
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000028b97
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d4c
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004beff
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027922
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000278c1
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000048e21
     0.02%  test     [kernel.kallsyms]             [k] bvec_try_merge_page
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027afd
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027960
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000002797f
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004bee0
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7fe
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000002794a
     0.02%  test     [kernel.kallsyms]             [k] asm_exc_page_fault
     0.02%  test     [kernel.kallsyms]             [k] lockref_put_return
     0.02%  test     [kernel.kallsyms]             [k] __mem_cgroup_threshold
     0.02%  test     [kernel.kallsyms]             [k] free_pages_and_swap_cache
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d799
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c7f3
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c264
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000006090
     0.02%  test     [kernel.kallsyms]             [k] __dquot_alloc_space
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6d7
