# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 41K of event 'branch-instructions'
# Event count (approx.): 5060828101
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                                                                                              
# ........  .......  ............................  ....................................................................................................................................................................................................................................................................
#
     0.05%  test     test                          [.] std::vector<int, std::allocator<int> >::operator[](unsigned long)
     0.05%  test     libjpeg.so.8.2.2              [.] 0x0000000000027244
     0.05%  test     libjpeg.so.8.2.2              [.] 0x0000000000027958
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000004c715
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000004bee0
     0.05%  test     [kernel.kallsyms]             [k] free_unref_page_commit
     0.05%  test     [kernel.kallsyms]             [k] __raw_spin_lock_irqsave
     0.05%  test     [kernel.kallsyms]             [k] pmd_val
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6c2
     0.05%  test     libc.so.6                     [.] __memset_evex_unaligned_erms
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000003d548
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000003d790
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000004be93
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000004be6f
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000004beb3
     0.04%  test     [kernel.kallsyms]             [k] xas_store
     0.04%  test     [kernel.kallsyms]             [k] _raw_spin_unlock
     0.04%  test     [kernel.kallsyms]             [k] filemap_get_folios
     0.04%  test     libjpeg.so.8.2.2              [.] 0x0000000000027241
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6ad
     0.04%  test     [kernel.kallsyms]             [k] fpregs_assert_state_consistent
     0.04%  test     [kernel.kallsyms]             [k] _find_first_bit
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6f1
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000002792e
     0.04%  test     libjpeg.so.8.2.2              [.] 0x00000000000270d8
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000002795b
     0.04%  test     libtbb.so.12.12               [.] tbb::detail::d1::task* tbb::detail::r1::task_dispatcher::local_wait_for_all<false, tbb::detail::r1::outermost_worker_waiter>(tbb::detail::d1::task*, tbb::detail::r1::outermost_worker_waiter&)
     0.04%  test     [kernel.kallsyms]             [k] memcg_check_events
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7db
     0.04%  test     libjpeg.so.8.2.2              [.] 0x0000000000015564
     0.04%  test     [kernel.kallsyms]             [k] memset_orig
     0.04%  test     test                          [.] operator new(unsigned long, void*)
     0.04%  test     [kernel.kallsyms]             [k] crypto_shash_update
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000004c252
     0.04%  test     [kernel.kallsyms]             [k] mem_cgroup_from_task
     0.04%  test     libjpeg.so.8.2.2              [.] jpeg_huff_decode
     0.04%  test     libjpeg.so.8.2.2              [.] 0x0000000000027a67
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000004c47e
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7eb
     0.04%  test     libjpeg.so.8.2.2              [.] 0x00000000000156be
     0.04%  test     [kernel.kallsyms]             [k] free_pcppages_bulk
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000003d455
     0.04%  test     libjpeg.so.8.2.2              [.] 0x0000000000028b90
     0.04%  test     [kernel.kallsyms]             [k] __cond_resched
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6fb
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027410
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7f3
     0.03%  test     [kernel.kallsyms]             [k] native_queued_spin_lock_slowpath
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d603
     0.03%  test     test                          [.] void _mm512_memcpy<unsigned char>(unsigned char*, unsigned char const*, unsigned long)
     0.03%  test     [kernel.kallsyms]             [k] __srcu_read_unlock
     0.03%  test     [kernel.kallsyms]             [k] balance_dirty_pages_ratelimited_flags
     0.03%  test     [kernel.kallsyms]             [k] _raw_read_lock
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027a98
     0.03%  test     libjpeg.so.8.2.2              [.] 0x00000000000155c3
     0.03%  test     [kernel.kallsyms]             [k] __kmem_cache_alloc_node
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d797
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000028b97
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027bf0
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027a46
     0.03%  test     [kernel.kallsyms]             [k] kthread_blkcg
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027234
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004c303
     0.03%  test     [kernel.kallsyms]             [k] __rmqueue_pcplist
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000000610b
     0.03%  test     libjpeg.so.8.2.2              [.] 0x00000000000372f0
     0.03%  test     test                          [.] int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
     0.03%  test     [kernel.kallsyms]             [k] __mem_cgroup_uncharge_list
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027910
     0.03%  test     [kernel.kallsyms]             [k] kmem_cache_free
     0.03%  test     [kernel.kallsyms]             [k] xas_descend
     0.03%  test     [kernel.kallsyms]             [k] error_entry
     0.03%  test     libjpeg.so.8.2.2              [.] 0x00000000000155b0
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027960
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d8ba
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7fe
     0.03%  test     [kernel.kallsyms]             [k] send_to_group
     0.03%  test     [kernel.kallsyms]             [k] __filemap_add_folio
     0.03%  test     libopencv_imgcodecs.so.4.9.0  [.] cv::JpegEncoder::write(cv::Mat const&, std::vector<int, std::allocator<int> > const&)
     0.03%  test     [kernel.kallsyms]             [k] asm_exc_page_fault
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d491
     0.03%  test     [kernel.kallsyms]             [k] policy_nodemask
     0.03%  test     [kernel.kallsyms]             [k] __fsnotify_parent
     0.03%  test     [kernel.kallsyms]             [k] perf_adjust_freq_unthr_context
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004c2a6
     0.03%  test     [kernel.kallsyms]             [k] find_lock_entries
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6cf
     0.03%  test     test                          [.] std::atan2(float, float)
     0.03%  test     [kernel.kallsyms]             [k] ext4_mark_iloc_dirty
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000006141
     0.02%  test     libm.so.6                     [.] __atan2f
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d799
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027a3f
     0.02%  test     libc.so.6                     [.] _IO_fwrite
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000026f5d
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c2b3
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c2af
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000271ab
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000006143
     0.02%  test     libjpeg.so.8.2.2              [.] jpeg_huff_decode@plt
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004bef3
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027850
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027922
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6d7
     0.02%  test     [kernel.kallsyms]             [k] __folio_start_writeback
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004bed1
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c7f8
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000002793e
     0.02%  test     [kernel.kallsyms]             [k] osq_lock
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c684
     0.02%  test     [kernel.kallsyms]             [k] copyin
     0.02%  test     [kernel.kallsyms]             [k] mpage_prepare_extent_to_map
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027860
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000048e5e
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c449
     0.02%  test     [kernel.kallsyms]             [k] irqentry_exit_to_user_mode
     0.02%  test     [kernel.kallsyms]             [k] xas_set_mark
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000048e3f
     0.02%  test     [kernel.kallsyms]             [k] __tlb_remove_page_size
     0.02%  test     [kernel.kallsyms]             [k] folio_unlock
     0.02%  test     [kernel.kallsyms]             [k] __get_vma_policy
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000270e6
     0.02%  test     [kernel.kallsyms]             [k] free_pages_and_swap_cache
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000206c3
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000002708e
     0.02%  test     test                          [.] std::sqrt(float)
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000048e47
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c4ce
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6ba
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000028bd6
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000015621
     0.02%  test     [kernel.kallsyms]             [k] fsnotify
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c451
     0.02%  test     [kernel.kallsyms]             [k] should_fail_alloc_page
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c704
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000028bb1
