# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 32K of event 'branch-instructions'
# Event count (approx.): 4978103875
#
# Overhead  Command  Shared Object               Symbol                                                                                                                                                                                                                                                              
# ........  .......  ..........................  ....................................................................................................................................................................................................................................................................
#
     0.07%  test     libjpeg.so.8.2.2            [.] 0x000000000003d7eb
     0.07%  test     test                        [.] decltype (::new ((void*)(0)) int((declval<int const&>)())) std::construct_at<int, int const&>(int*, int const&)
     0.07%  test     [kernel.kallsyms]           [k] __irqentry_text_end
     0.07%  test     libjpeg.so.8.2.2            [.] 0x000000000004c6a5
     0.07%  test     [kernel.kallsyms]           [k] mem_cgroup_css_rstat_flush
     0.07%  test     libjpeg.so.8.2.2            [.] 0x000000000003d790
     0.06%  test     libjpeg.so.8.2.2            [.] 0x000000000004be87
     0.06%  test     libjpeg.so.8.2.2            [.] 0x000000000003d7a9
     0.06%  test     libjpeg.so.8.2.2            [.] 0x000000000002792e
     0.06%  test     libjpeg.so.8.2.2            [.] 0x000000000004c6ad
     0.06%  test     [kernel.kallsyms]           [k] __folio_alloc
     0.06%  test     libjpeg.so.8.2.2            [.] 0x000000000003d7a5
     0.06%  test     test                        [.] int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
     0.05%  test     [kernel.kallsyms]           [k] __mod_lruvec_state
     0.05%  test     [kernel.kallsyms]           [k] _compound_head
     0.05%  test     libjpeg.so.8.2.2            [.] 0x000000000004bf0f
     0.05%  test     libjpeg.so.8.2.2            [.] 0x000000000004be93
     0.05%  test     libjpeg.so.8.2.2            [.] 0x0000000000007d62
     0.05%  test     [kernel.kallsyms]           [k] mem_cgroup_from_task
     0.05%  test     libjpeg.so.8.2.2            [.] 0x000000000002793e
     0.05%  test     libjpeg.so.8.2.2            [.] 0x0000000000027a67
     0.05%  test     [kernel.kallsyms]           [k] vm_normal_page
     0.05%  test     libjpeg.so.8.2.2            [.] 0x0000000000028b97
     0.05%  test     libjpeg.so.8.2.2            [.] 0x00000000000270d1
     0.05%  test     libjpeg.so.8.2.2            [.] 0x000000000004be8b
     0.05%  test     libjpeg.so.8.2.2            [.] 0x000000000004c2af
     0.05%  test     libjpeg.so.8.2.2            [.] 0x0000000000027237
     0.05%  test     libjpeg.so.8.2.2            [.] 0x0000000000027241
     0.05%  test     libjpeg.so.8.2.2            [.] 0x00000000000271ab
     0.05%  test     libtbb.so.12.12             [.] tbb::detail::d1::task* tbb::detail::r1::task_dispatcher::local_wait_for_all<false, tbb::detail::r1::outermost_worker_waiter>(tbb::detail::d1::task*, tbb::detail::r1::outermost_worker_waiter&)
     0.05%  test     libjpeg.so.8.2.2            [.] 0x000000000003d603
     0.05%  test     libjpeg.so.8.2.2            [.] 0x000000000004bef3
     0.05%  test     [kernel.kallsyms]           [k] xas_store
     0.05%  test     libjpeg.so.8.2.2            [.] 0x000000000003d8b0
     0.05%  test     [kernel.kallsyms]           [k] consume_obj_stock
     0.05%  test     [kernel.kallsyms]           [k] pud_val
     0.05%  test     [kernel.kallsyms]           [k] _find_first_bit
     0.05%  test     test                        [.] std::vector<int, std::allocator<int> >::size() const
     0.04%  test     libjpeg.so.8.2.2            [.] 0x000000000002795b
     0.04%  test     libjpeg.so.8.2.2            [.] 0x0000000000027410
     0.04%  test     [kernel.kallsyms]           [k] __mark_inode_dirty
     0.04%  test     libjpeg.so.8.2.2            [.] 0x0000000000027a3f
     0.04%  test     [kernel.kallsyms]           [k] ext4_fill_raw_inode
     0.04%  test     [kernel.kallsyms]           [k] policy_node
     0.04%  test     libjpeg.so.8.2.2            [.] 0x0000000000027244
     0.04%  test     libjpeg.so.8.2.2            [.] 0x000000000004be97
     0.04%  test     [kernel.kallsyms]           [k] ext4_do_update_inode.isra.0
     0.04%  test     libjpeg.so.8.2.2            [.] 0x00000000000156ae
     0.04%  test     libjpeg.so.8.2.2            [.] 0x0000000000027962
     0.04%  test     libjpeg.so.8.2.2            [.] 0x000000000002708e
     0.04%  test     test                        [.] void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
     0.04%  test     libjpeg.so.8.2.2            [.] 0x000000000002785c
     0.04%  test     libjpeg.so.8.2.2            [.] 0x000000000003d799
     0.04%  test     [kernel.kallsyms]           [k] memcg_slab_post_alloc_hook
     0.04%  test     libjpeg.so.8.2.2            [.] 0x0000000000027265
     0.04%  test     libjpeg.so.8.2.2            [.] 0x00000000000155b7
     0.04%  test     [kernel.kallsyms]           [k] xas_descend
     0.04%  test     [kernel.kallsyms]           [k] consume_stock
