# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 35K of event 'branch-instructions'
# Event count (approx.): 6330547978
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                                                                                                                                             
# ........  .......  ............................  ...................................................................................................................................................................................................................................................................................................................
#
     0.09%  test     libjpeg.so.8.2.2              [.] 0x000000000003d571
     0.09%  test     libjpeg.so.8.2.2              [.] 0x000000000004c715
     0.09%  test     [kernel.kallsyms]             [k] __mod_memcg_lruvec_state
     0.09%  test     [kernel.kallsyms]             [k] percpu_counter_add_batch
     0.09%  test     libc.so.6                     [.] __memmove_evex_unaligned_erms
     0.09%  test     [kernel.kallsyms]             [k] blk_cgroup_congested
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7b3
     0.08%  test     [kernel.kallsyms]             [k] pte_offset_map_nolock
     0.08%  test     [kernel.kallsyms]             [k] mas_walk
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7c2
     0.08%  test     [kernel.kallsyms]             [k] folio_batch_move_lru
     0.08%  test     [kernel.kallsyms]             [k] cgroup_rstat_updated
     0.08%  test     [kernel.kallsyms]             [k] try_charge_memcg
     0.08%  test     [kernel.kallsyms]             [k] do_anonymous_page
     0.08%  test     [kernel.kallsyms]             [k] mem_cgroup_css_rstat_flush
     0.08%  test     test                          [.] PThread::PerformDoubleThresholding(unsigned char*, float*, int, int, int, int)::{lambda(void*)#1}::operator()(void*) const
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000004c711
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7a5
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000004be69
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000003d57d
     0.07%  test     [kernel.kallsyms]             [k] __mod_zone_page_state
     0.07%  test     [kernel.kallsyms]             [k] __pte_offset_map
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6c2
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000003d550
     0.07%  test     [kernel.kallsyms]             [k] perf_event_alloc
     0.07%  test     libjpeg.so.8.2.2              [.] 0x0000000000027952
     0.07%  test     libjpeg.so.8.2.2              [.] 0x00000000000271f5
     0.07%  test     [kernel.kallsyms]             [k] count_memcg_events.constprop.0
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000003d544
     0.07%  test     [kernel.kallsyms]             [k] _compound_head
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000003d59c
     0.07%  test     [kernel.kallsyms]             [k] free_unref_page_list
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000004c70d
     0.06%  test     [kernel.kallsyms]             [k] handle_pte_fault
     0.06%  test     [kernel.kallsyms]             [k] kfree
     0.06%  test     [kernel.kallsyms]             [k] get_mem_cgroup_from_mm
     0.06%  test     libjpeg.so.8.2.2              [.] 0x00000000000156ae
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6cf
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000004c719
     0.06%  test     [kernel.kallsyms]             [k] folio_add_lru
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000004be44
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000004bee9
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000004be7f
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000003d78b
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000002792e
     0.06%  test     [kernel.kallsyms]             [k] down_read_trylock
     0.06%  test     [kernel.kallsyms]             [k] __mod_lruvec_page_state
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000003d5fb
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7a9
     0.05%  test     [kernel.kallsyms]             [k] __raw_spin_lock_irqsave
     0.05%  test     [kernel.kallsyms]             [k] vm_normal_page
     0.05%  test     libjpeg.so.8.2.2              [.] 0x0000000000027229
     0.05%  test     [kernel.kallsyms]             [k] sync_regs
     0.05%  test     [kernel.kallsyms]             [k] _raw_spin_lock_irq
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000004c700
     0.05%  test     [kernel.kallsyms]             [k] mutex_lock
     0.05%  test     libjpeg.so.8.2.2              [.] 0x0000000000027962
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000004becd
