# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 28K of event 'branch-instructions'
# Event count (approx.): 6292847183
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                                                                                                                                                                                                          
# ........  .......  ............................  ................................................................................................................................................................................................................................................................................................................................................................................
#
     0.08%  test     [kernel.kallsyms]             [k] free_unref_page_list
     0.08%  test     [kernel.kallsyms]             [k] __pte_offset_map
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000002724c
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000004c715
     0.08%  test     [kernel.kallsyms]             [k] get_mem_cgroup_from_mm
     0.08%  test     test                          [.] PThread::PerformDoubleThresholding(unsigned char*, float*, int, int, int, int)::{lambda(void*)#1}::operator()(void*) const
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000003d571
     0.07%  test     [kernel.kallsyms]             [k] __mod_node_page_state
     0.07%  test     [kernel.kallsyms]             [k] do_anonymous_page
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6a5
     0.07%  test     [kernel.kallsyms]             [k] uncharge_folio
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000004be87
     0.07%  test     libjpeg.so.8.2.2              [.] jpeg_fill_bit_buffer@plt
     0.07%  test     libjpeg.so.8.2.2              [.] 0x0000000000037320
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000003d5bf
     0.07%  test     libjpeg.so.8.2.2              [.] 0x0000000000027962
     0.07%  test     [kernel.kallsyms]             [k] __pte_offset_map_lock
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000004becd
     0.06%  test     [kernel.kallsyms]             [k] count_memcg_events.constprop.0
     0.06%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d62
     0.06%  test     [kernel.kallsyms]             [k] _raw_spin_trylock
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000003d57d
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000004c711
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000004c70d
     0.06%  test     [kernel.kallsyms]             [k] free_unref_page_commit
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000003d544
     0.06%  test     [kernel.kallsyms]             [k] lock_vma_under_rcu
