# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 22K of event 'branch-instructions'
# Event count (approx.): 4354894864
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                                                                                              
# ........  .......  ............................  ....................................................................................................................................................................................................................................................................
#
     0.09%  test     libjpeg.so.8.2.2              [.] 0x00000000000156ae
     0.09%  test     [kernel.kallsyms]             [k] vm_normal_page
     0.09%  test     libjpeg.so.8.2.2              [.] 0x000000000004be44
     0.09%  test     [kernel.kallsyms]             [k] try_charge_memcg
     0.09%  test     libjpeg.so.8.2.2              [.] 0x000000000003d544
     0.09%  test     [kernel.kallsyms]             [k] free_unref_page_list
     0.09%  test     [kernel.kallsyms]             [k] __mem_cgroup_charge
     0.09%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6fb
     0.09%  test     libjpeg.so.8.2.2              [.] 0x0000000000027265
     0.09%  test     [kernel.kallsyms]             [k] pmd_val
     0.09%  test     libjpeg.so.8.2.2              [.] 0x000000000004c711
     0.08%  test     libjpeg.so.8.2.2              [.] 0x0000000000006119
     0.08%  test     [kernel.kallsyms]             [k] _compound_head
     0.08%  test     test                          [.] std::queue<int, std::deque<int, std::allocator<int> > >::front()
     0.08%  test     libjpeg.so.8.2.2              [.] 0x000000000002785c
     0.08%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d59
     0.07%  test     [kernel.kallsyms]             [k] _find_first_bit
     0.07%  test     libjpeg.so.8.2.2              [.] 0x00000000000271c8
     0.07%  test     [kernel.kallsyms]             [k] sync_regs
     0.07%  test     libjpeg.so.8.2.2              [.] 0x0000000000027244
     0.07%  test     libjpeg.so.8.2.2              [.] 0x00000000000155c3
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7db
     0.07%  test     [kernel.kallsyms]             [k] ext4_fill_raw_inode
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000004be8f
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6ad
     0.07%  test     libjpeg.so.8.2.2              [.] 0x000000000003d62f
     0.06%  test     libjpeg.so.8.2.2              [.] jpeg_huff_decode
     0.06%  test     libjpeg.so.8.2.2              [.] 0x0000000000027a67
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000003d790
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000003d78b
     0.06%  test     [kernel.kallsyms]             [k] __pte_offset_map_lock
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7a9
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7eb
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000003d8ba
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000003d603
     0.06%  test     libjpeg.so.8.2.2              [.] 0x00000000000270d1
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000004c2ff
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000004be97
     0.06%  test     [kernel.kallsyms]             [k] crc32c_pcl_intel_update
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000002797f
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000003d617
     0.06%  test     [kernel.kallsyms]             [k] policy_node
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000004bf0f
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000004bee0
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000004be75
     0.06%  test     [kernel.kallsyms]             [k] copyin
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000002795b
     0.06%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7a5
     0.06%  test     [kernel.kallsyms]             [k] pud_val
     0.05%  test     libjpeg.so.8.2.2              [.] 0x0000000000027229
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000004c2af
     0.05%  test     test                          [.] std::deque<int, std::allocator<int> >::empty() const
     0.05%  test     libjpeg.so.8.2.2              [.] 0x0000000000028b90
     0.05%  test     libjpeg.so.8.2.2              [.] 0x0000000000015561
     0.05%  test     [kernel.kallsyms]             [k] __srcu_read_unlock
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6cf
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000004be7b
     0.05%  test     [kernel.kallsyms]             [k] __raw_spin_lock_irqsave
     0.05%  test     libjpeg.so.8.2.2              [.] 0x0000000000027234
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000004becd
     0.05%  test     libjpeg.so.8.2.2              [.] 0x0000000000028b97
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000004beb7
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000004be83
     0.05%  test     [kernel.kallsyms]             [k] __mod_lruvec_state
     0.05%  test     test                          [.] void std::allocator_traits<std::allocator<int> >::destroy<int>(std::allocator<int>&, int*)
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000004c70d
     0.05%  test     libjpeg.so.8.2.2              [.] 0x00000000000156be
     0.05%  test     [kernel.kallsyms]             [k] post_alloc_hook
     0.05%  test     [kernel.kallsyms]             [k] mem_cgroup_from_task
     0.05%  test     test                          [.] void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
     0.05%  test     libjpeg.so.8.2.2              [.] 0x0000000000027a3f
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000004beb3
     0.05%  test     libjpeg.so.8.2.2              [.] 0x0000000000027260
     0.05%  test     libjpeg.so.8.2.2              [.] 0x0000000000027bf4
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000000610b
     0.05%  test     [kernel.kallsyms]             [k] __mem_cgroup_uncharge_list
     0.05%  test     libjpeg.so.8.2.2              [.] 0x00000000000271a0
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000004bed1
     0.04%  test     test                          [.] std::_Deque_iterator<int, int&, int*>::operator*() const
     0.04%  test     [kernel.kallsyms]             [k] do_user_addr_fault
     0.04%  test     libjpeg.so.8.2.2              [.] 0x0000000000015617
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000004be8b
     0.04%  test     libjpeg.so.8.2.2              [.] 0x00000000000271fa
     0.04%  test     libjpeg.so.8.2.2              [.] 0x00000000000059e7
     0.04%  test     [kernel.kallsyms]             [k] __filemap_add_folio
     0.04%  test     libjpeg.so.8.2.2              [.] 0x0000000000006141
     0.04%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d6e
     0.04%  test     libtbb.so.12.12               [.] tbb::detail::d1::task* tbb::detail::r1::task_dispatcher::local_wait_for_all<false, tbb::detail::r1::outermost_worker_waiter>(tbb::detail::d1::task*, tbb::detail::r1::outermost_worker_waiter&)
     0.04%  test     libjpeg.so.8.2.2              [.] 0x0000000000006090
     0.04%  test     [kernel.kallsyms]             [k] xas_clear_mark
     0.04%  test     [kernel.kallsyms]             [k] __irqentry_text_end
     0.04%  test     test                          [.] std::atan2(float, float)
