# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 23K of event 'branch-instructions'
# Event count (approx.): 4500423953
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
# ........  .......  ............................  ...........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000002794a
     0.03%  test     [kernel.kallsyms]             [k] policy_node
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004bead
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027960
     0.03%  test     test                          [.] int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
     0.03%  test     libjpeg.so.8.2.2              [.] jpeg_huff_decode@plt
     0.03%  test     [kernel.kallsyms]             [k] _raw_spin_unlock_irqrestore
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6f1
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004c47e
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000002797f
     0.03%  test     test                          [.] void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d603
     0.03%  test     [kernel.kallsyms]             [k] _raw_spin_unlock
     0.03%  test     [kernel.kallsyms]             [k] __fget_light
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7eb
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6ad
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004c2b3
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004c33f
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d799
     0.03%  test     [kernel.kallsyms]             [k] folio_lruvec_lock_irqsave
     0.03%  test     [kernel.kallsyms]             [k] xas_clear_mark
     0.03%  test     [kernel.kallsyms]             [k] __srcu_read_unlock
     0.03%  test     [kernel.kallsyms]             [k] xas_descend
     0.03%  test     [kernel.kallsyms]             [k] ext4_inode_csum
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027920
     0.03%  test     [kernel.kallsyms]             [k] kmem_cache_alloc
     0.03%  test     [kernel.kallsyms]             [k] __fsnotify_parent
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027850
     0.03%  test     libjpeg.so.8.2.2              [.] 0x00000000000156be
     0.03%  test     [kernel.kallsyms]             [k] pud_val
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004c252
     0.03%  test     [kernel.kallsyms]             [k] filemap_get_folios_tag
     0.03%  test     [kernel.kallsyms]             [k] __kmem_cache_alloc_node
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004c2af
     0.03%  test     [kernel.kallsyms]             [k] fsnotify
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d8b6
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000028b90
     0.03%  test     libm.so.6                     [.] __atan2f_finite@GLIBC_2.15
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027853
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027142
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000002708e
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c2ff
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c43d
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000278c1
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000048e4c
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c26e
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c4ce
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027a98
     0.02%  test     libm.so.6                     [.] __atan2f
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027958
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000048e25
